"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.00485,11.0129358,10.73257688,10.88470379,10.94462208,10.8786798,10.61426157,10.85625432,10.49279532,10.54683545,10.57629901,11.11556466,11.32473955,10.74580322
0.0049,11.0129204,10.73251546,10.88464058,10.94455804,10.8786164,10.61420112,10.85621733,10.49273439,10.54678664,10.57625494,11.11549876,11.32465707,10.74574166
0.00495,11.01290489,10.73245352,10.88457684,10.94449344,10.87855244,10.6141401,10.85618016,10.49267296,10.54673744,10.57621051,11.11543234,11.32457428,10.74567958
0.005,11.01288927,10.73239106,10.88451258,10.94442831,10.87848795,10.61407852,10.85614281,10.49261107,10.54668786,10.57616572,11.11536541,11.32449121,10.74561698
0.00505,11.01287356,10.7323281,10.88444783,10.94436268,10.87842295,10.61401641,10.85610531,10.49254873,10.54663793,10.5761206,11.115298,11.32440787,10.74555391
0.0051,11.01285776,10.73226468,10.88438262,10.94429657,10.87835746,10.6139538,10.85606767,10.49248596,10.54658765,10.57607516,11.11523013,11.32432431,10.74549037
0.00515,11.01284188,10.73220081,10.88431696,10.94423,10.87829151,10.6138907,10.8560299,10.49242279,10.54653704,10.57602942,11.11516183,11.32424055,10.7454264
0.0052,11.01282591,10.73213652,10.88425088,10.94416299,10.87822511,10.61382713,10.85599201,10.49235924,10.54648613,10.57598339,11.11509312,11.32415662,10.74536201
0.00525,11.01280987,10.73207182,10.88418441,10.94409558,10.8781583,10.61376312,10.85595402,10.49229534,10.54643494,10.57593709,11.11502402,11.32407255,10.74529723
0.0053,11.01279376,10.73200675,10.88411757,10.94402777,10.8780911,10.61369869,10.85591594,10.49223109,10.54638347,10.57589053,11.11495457,11.32398837,10.74523207
0.00535,11.01277759,10.73194132,10.88405037,10.9439596,10.87802353,10.61363387,10.85587778,10.49216654,10.54633175,10.57584374,11.11488477,11.32390411,10.74516657
0.0054,11.01276137,10.73187556,10.88398285,10.9438911,10.87795561,10.61356867,10.85583956,10.4921017,10.54627979,10.57579673,11.11481467,11.3238198,10.74510075
0.00545,11.01274509,10.73180949,10.88391503,10.94382228,10.87788737,10.61350313,10.85580129,10.49203658,10.54622762,10.57574951,11.11474428,11.32373548,10.74503463
0.0055,11.01272876,10.73174314,10.88384694,10.94375317,10.87781883,10.61343725,10.85576299,10.49197123,10.54617526,10.5757021,11.11467363,11.32365116,10.74496823
